request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_161,6906804.19,affordable_later,wait,2026-01-15:21204000,2026-01-15,none,"Pay IDR 21,204,000 in full on 15 January 2026. Paying earlier would take the balance below the IDR 23,010,400 minimum; only IDR 6,906,804.19 is safe today. The forecast uses confirmed income in messages."
request_162,1255094.80,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 83,923,000 request. Although IDR 1,255,094.80 is available today, the full amount cannot be completed safely by 26 August 2026 while keeping the IDR 24,161,100 minimum. The forecast uses the latest payroll update."
request_163,8809583.38,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-09-15,none,"Use 3 installments of IDR 6,692,053.33, starting 10 September 2024. This leaves at least IDR 26,728,700 available. The forecast uses the latest payroll update and confirmed income in messages."
request_164,27018000,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 11 February 2025. This leaves at least IDR 29,550,500 available. The forecast uses the latest payroll update."
request_165,68752.32,affordable_now,full_payment,2026-04-06:80600,2026-04-06,none,"Pay INR 80,600 today. This leaves at least INR 95,000 available over the next 90 days."
request_166,2907.60,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 3 December 2024. This leaves at least USD 1,700 available. The forecast uses confirmed income in messages."
request_167,43802,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days. The forecast uses the latest payroll update."
request_168,30444.55,affordable_with_plan,partial_payment,2026-01-07:30444.55|2026-02-15:18935.45,2026-02-15,none,"Pay INR 30,444.55 today and the remaining INR 18,935.45 on 15 February 2026. This completes the full request and keeps the INR 114,400 minimum protected. The forecast uses the latest payroll update."
request_169,41976,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,29866830.93,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 6 August 2025. This leaves at least IDR 24,715,800 available."
request_171,33.02,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,878.80 request. Although EUR 33.02 is available today, the full amount cannot be completed safely by 10 September 2026 while keeping the EUR 500 minimum."
request_172,9077.61,affordable_with_plan,partial_payment,2024-06-05:9077.61|2024-06-15:1122.39,2024-06-15,none,"Pay ZAR 9,077.61 today and the remaining ZAR 1,122.39 on 15 June 2024. This completes the full request and keeps the ZAR 27,200 minimum protected."
request_173,55371.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 21 November 2025. This leaves at least INR 79,100 available. The forecast uses confirmed income in messages."
request_174,1075.32,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,none,"Use 3 installments of EUR 397.35, starting 4 April 2026. This leaves at least EUR 700 available."
request_175,2346.30,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days. The forecast uses the latest payroll update."
request_176,367,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,239.70 request. Although EUR 367 is available today, the full amount cannot be completed safely by 27 February 2025 while keeping the EUR 600 minimum. The forecast uses the latest payroll update."
request_177,1017.60,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days. The forecast uses the latest payroll update."
request_178,2938.10,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 7 December 2024. This leaves at least EUR 1,400 available. The forecast uses confirmed income in messages."
request_179,6584779.78,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Pay IDR 41,648,000 in full on 15 July 2025. Paying earlier would take the balance below the IDR 41,430,800 minimum; only IDR 6,584,779.78 is safe today."
request_180,66500,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days. The forecast uses confirmed income in messages."
request_181,283.69,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 5,059.20 request. Although USD 283.69 is available today, the full amount cannot be completed safely by 7 April 2024 while keeping the USD 2,000 minimum."
request_182,65714,affordable_now,full_payment,2025-08-05:65714,2025-08-05,none,"Pay ZAR 65,714 today. This leaves at least ZAR 31,100 available over the next 90 days."
request_183,22982284.10,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-05-15,stop:event_16813,"Use 3 installments of IDR 9,313,546.67, starting 10 April 2026. This leaves at least IDR 11,878,300 available."
request_184,7134.15,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 251,900 request. Although INR 7,134.15 is available today, the full amount cannot be completed safely by 30 July 2024 while keeping the INR 110,800 minimum."
request_185,309.85,affordable_later,wait,2026-01-15:1257.30,2026-01-15,none,"Pay EUR 1,257.30 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum; only EUR 309.85 is safe today."
request_186,4156.68,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Pay ZAR 26,554 in full on 15 March 2026. Paying earlier would take the balance below the ZAR 22,000 minimum; only ZAR 4,156.68 is safe today. The forecast uses the latest payroll update."
request_187,37844.44,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Pay INR 187,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 128,300 minimum; only INR 37,844.44 is safe today. The forecast uses confirmed income in messages."
request_188,102.94,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 2,464 request. Although EUR 102.94 is available today, the full amount cannot be completed safely by 4 March 2025 while keeping the EUR 900 minimum."
request_189,488.40,affordable_now,full_payment,2026-07-04:488.40,2026-07-04,none,Pay EUR 488.40 today. This leaves at least EUR 400 available over the next 90 days. The forecast uses the latest payroll update.
request_190,478.57,affordable_later,wait,2025-02-15:2557.50,2025-02-15,none,"Pay EUR 2,557.50 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,600 minimum; only EUR 478.57 is safe today."
request_191,664.40,affordable_now,full_payment,2025-05-03:664.40,2025-05-03,none,Pay EUR 664.40 today. This leaves at least EUR 500 available over the next 90 days.
request_192,107.83,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,046 request. Although USD 107.83 is available today, the full amount cannot be completed safely by 11 May 2026 while keeping the USD 1,000 minimum."
request_193,33.62,affordable_with_plan,installments,2024-03-21:420.23|2024-04-21:420.23|2024-05-22:420.23,2024-04-15,none,"Use 3 installments of EUR 420.23, starting 21 March 2024. This leaves at least EUR 1,000 available. The forecast uses the latest payroll update."
request_194,33083.28,affordable_later,wait,2025-10-23:132800,2025-10-23,none,"Pay INR 132,800 in full on 23 October 2025. Paying earlier would take the balance below the INR 113,600 minimum; only INR 33,083.28 is safe today. The forecast uses the latest payroll update."
request_195,965.95,affordable_with_plan,installments,2026-01-09:405.74|2026-02-08:405.74|2026-03-10:405.74,2026-03-15,none,"Use 3 installments of EUR 405.74, starting 9 January 2026. This leaves at least EUR 700 available. The forecast uses the latest payroll update."
request_196,762.30,affordable_now,full_payment,2024-06-03:762.30,2024-06-03,none,Pay EUR 762.30 today. This leaves at least EUR 500 available over the next 90 days.
request_197,50939000,affordable_with_plan,installments,2025-11-19:17658853.33|2025-12-17:17658853.33|2026-01-14:17658853.33,2025-11-05,none,"Use 3 installments of IDR 17,658,853.33, starting 19 November 2025. This leaves at least IDR 26,245,900 available. The forecast uses confirmed income in messages."
request_198,185800,affordable_now,full_payment,2026-07-07:185800,2026-07-07,none,"Pay INR 185,800 today. This leaves at least INR 124,300 available over the next 90 days. The forecast uses the latest bill update."
request_199,23674000,affordable_with_plan,installments,2024-09-07:8206986.67|2024-10-08:8206986.67|2024-11-08:8206986.67,2024-09-04,none,"Use 3 installments of IDR 8,206,986.67, starting 7 September 2024. This leaves at least IDR 25,359,500 available."
request_200,21717000,affordable_now,full_payment,2025-02-06:21717000,2025-02-06,none,"Pay IDR 21,717,000 today. This leaves at least IDR 20,114,600 available over the next 90 days."
request_201,23122198.12,affordable_now,full_payment,2026-04-03:23997000,2026-04-03,none,"Pay IDR 23,997,000 today. This leaves at least IDR 17,304,500 available over the next 90 days."
request_202,123900,affordable_now,full_payment,2024-12-05:123900,2024-12-05,none,"Pay INR 123,900 today. This leaves at least INR 147,800 available over the next 90 days."
request_203,861.02,affordable_with_plan,installments,2025-05-10:499.93|2025-06-07:499.93|2025-07-05:499.93,,none,"Use 3 installments of EUR 499.93, starting 10 May 2025. This leaves at least EUR 1,400 available."
request_204,572.05,affordable_later,wait,2026-01-15:588.74,2026-01-15,none,"Pay EUR 588.74 in full on 15 January 2026. Paying earlier would take the balance below the EUR 1,300 minimum; only EUR 572.05 is safe today. The forecast uses confirmed income in messages."
request_205,10621000,affordable_now,full_payment,2024-03-06:10621000,2024-03-06,none,"Pay IDR 10,621,000 today. This leaves at least IDR 13,994,300 available over the next 90 days."
request_206,1404.70,affordable_with_plan,installments,2025-08-03:486.96|2025-08-31:486.96|2025-09-28:486.96,2025-08-03,none,"Use 3 installments of EUR 486.96, starting 3 August 2025. This leaves at least EUR 900 available."
request_207,4516.76,affordable_later,wait,2026-07-15:11830,2026-07-15,none,"Pay ZAR 11,830 in full on 15 July 2026. Paying earlier would take the balance below the ZAR 13,600 minimum; only ZAR 4,516.76 is safe today."
request_208,3040802.28,affordable_later,wait,2024-06-15:4413000,2024-06-15,none,"Pay IDR 4,413,000 in full on 15 June 2024. Paying earlier would take the balance below the IDR 10,470,700 minimum; only IDR 3,040,802.28 is safe today."
request_209,1660.21,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 56,914 request. Although ZAR 1,660.21 is available today, the full amount cannot be completed safely by 25 November 2025 while keeping the ZAR 18,400 minimum."
request_210,826.61,affordable_with_plan,installments,2026-04-06:471.48|2026-05-04:471.48|2026-06-01:471.48,2026-04-15,none,"Use 3 installments of USD 471.48, starting 6 April 2026. This leaves at least USD 2,000 available. The forecast uses the latest bill update."
request_211,252.01,affordable_later,wait,2024-11-15:1788.60,2024-11-15,none,"Pay EUR 1,788.60 in full on 15 November 2024. Paying earlier would take the balance below the EUR 1,500 minimum; only EUR 252.01 is safe today."
request_212,4092864.88,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 71,934,000 request. Although IDR 4,092,864.88 is available today, the full amount cannot be completed safely by 28 February 2025 while keeping the IDR 29,579,800 minimum. The forecast uses the latest payroll update."
request_213,2375.44,affordable_with_plan,installments,2026-01-21:1165.63|2026-02-20:1165.63|2026-03-22:1165.63,,none,"Use 3 installments of USD 1,165.63, starting 21 January 2026. This leaves at least USD 2,100 available."
request_214,41113.73,affordable_with_plan,installments,2024-12-04:36270|2025-01-01:36270,2024-12-15,none,"Use 2 installments of INR 36,270, starting 4 December 2024. This leaves at least INR 174,900 available."
request_215,26913.56,affordable_with_plan,installments,2025-05-09:10395.15|2025-06-06:10395.15|2025-07-04:10395.15,,none,"Use 3 installments of ZAR 10,395.15, starting 9 May 2025. This leaves at least ZAR 15,700 available."
request_216,483.08,affordable_later,wait,2026-09-15:3332.40,2026-09-15,none,"Pay USD 3,332.40 in full on 15 September 2026. Paying earlier would take the balance below the USD 1,800 minimum; only USD 483.08 is safe today. The forecast uses the latest payroll update."
request_217,19583.40,affordable_with_plan,installments,2024-03-19:12889.07|2024-04-19:12889.07|2024-05-20:12889.07,2024-05-15,none,"Use 3 installments of ZAR 12,889.07, starting 19 March 2024. This leaves at least ZAR 26,800 available."
request_218,24611852.51,affordable_with_plan,installments,2025-08-07:21195893.33|2025-09-04:21195893.33|2025-10-02:21195893.33,2025-09-15,none,"Use 3 installments of IDR 21,195,893.33, starting 7 August 2025. This leaves at least IDR 34,477,200 available."
request_219,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 13 June 2026. None of the available options keeps the EUR 1,100 minimum protected."
request_220,72.34,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 3,118.50 request. Although EUR 72.34 is available today, the full amount cannot be completed safely by 3 July 2024 while keeping the EUR 1,100 minimum. The forecast uses the latest payroll update."
request_221,109800,affordable_now,full_payment,2025-11-03:109800,2025-11-03,none,"Pay INR 109,800 today. This leaves at least INR 81,500 available over the next 90 days."
request_222,34078,affordable_now,full_payment,2026-01-05:34078,2026-01-05,none,"Pay ZAR 34,078 today. This leaves at least ZAR 27,300 available over the next 90 days. The forecast uses confirmed income in messages."
request_223,898.70,affordable_now,full_payment,2024-09-07:898.70,2024-09-07,none,Pay EUR 898.70 today. This leaves at least EUR 800 available over the next 90 days.
request_224,10063394.35,affordable_with_plan,partial_payment,2025-02-04:10063394.35|2025-02-15:263605.65,2025-02-15,none,"Pay IDR 10,063,394.35 today and the remaining IDR 263,605.65 on 15 February 2025. This completes the full request and keeps the IDR 22,187,600 minimum protected."
request_225,9590423.21,affordable_with_plan,installments,2026-07-20:7647120|2026-08-19:7647120|2026-09-18:7647120,2026-09-15,reduce_to:event_20649:314450,"Use 3 installments of IDR 7,647,120, starting 20 July 2026. This leaves at least IDR 17,670,700 available."
request_226,157000,affordable_now,full_payment,2024-12-03:157000,2024-12-03,none,"Pay INR 157,000 today. This leaves at least INR 209,400 available over the next 90 days. The forecast uses the latest payroll update and confirmed income in messages."
request_227,7567.26,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 259,700 request. Although INR 7,567.26 is available today, the full amount cannot be completed safely by 20 June 2025 while keeping the INR 62,900 minimum."
request_228,1601201.62,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 63,327,000 request. Although IDR 1,601,201.62 is available today, the full amount cannot be completed safely by 30 April 2026 while keeping the IDR 26,191,200 minimum. The forecast uses confirmed income in messages."
request_229,434.66,affordable_with_plan,installments,2024-03-18:529.29|2024-04-18:529.29|2024-05-19:529.29,2024-05-15,none,"Use 3 installments of EUR 529.29, starting 18 March 2024. This leaves at least EUR 1,000 available."
request_230,3537.60,affordable_now,full_payment,2025-08-06:3537.60,2025-08-06,none,"Pay EUR 3,537.60 today. This leaves at least EUR 2,000 available over the next 90 days. The forecast uses the latest payroll update."
request_231,30710.57,affordable_with_plan,installments,2026-01-06:12378.08|2026-02-05:12378.08|2026-03-07:12378.08,2026-02-15,stop:event_21223,"Use 3 installments of ZAR 12,378.08, starting 6 January 2026. This leaves at least ZAR 24,300 available."
request_232,631.97,affordable_later,wait,2024-08-15:1970.10,2024-08-15,none,"Pay EUR 1,970.10 in full on 15 August 2024. Paying earlier would take the balance below the EUR 2,400 minimum; only EUR 631.97 is safe today. The forecast uses confirmed income in messages."
request_233,3738334.08,affordable_with_plan,installments,2025-11-14:3245320|2025-12-15:3245320,2025-11-15,none,"Use 2 installments of IDR 3,245,320, starting 14 November 2025. This leaves at least IDR 10,365,700 available. The forecast uses confirmed income in messages."
request_234,183.19,affordable_later,wait,2026-09-15:1213.30,2026-09-15,none,"Pay EUR 1,213.30 in full on 15 September 2026. Paying earlier would take the balance below the EUR 700 minimum; only EUR 183.19 is safe today. The forecast uses the latest bill update."
request_235,967.20,affordable_now,full_payment,2024-09-06:967.20,2024-09-06,none,Pay USD 967.20 today. This leaves at least USD 700 available over the next 90 days.
request_236,5830036.97,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,383,000 request. Although IDR 5,830,036.97 is available today, the full amount cannot be completed safely by 23 February 2025 while keeping the IDR 16,768,600 minimum."
request_237,22228678.74,affordable_now,full_payment,2026-04-05:23826000,2026-04-05,none,"Pay IDR 23,826,000 today. This leaves at least IDR 22,431,500 available over the next 90 days."
request_238,0,not_affordable,not_recommended,none,,none,Do not make this payment by 16 February 2025. None of the available options keeps the USD 700 minimum protected.
request_239,642,affordable_now,full_payment,2025-05-04:642,2025-05-04,none,Pay USD 642 today. This leaves at least USD 600 available over the next 90 days.
request_240,13746.71,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 101,200 request. Although INR 13,746.71 is available today, the full amount cannot be completed safely by 20 March 2026 while keeping the INR 52,800 minimum. The forecast uses confirmed income in messages."
request_241,21052000,affordable_with_plan,installments,2024-03-17:7298026.67|2024-04-17:7298026.67|2024-05-18:7298026.67,2024-03-03,none,"Use 3 installments of IDR 7,298,026.67, starting 17 March 2024. This leaves at least IDR 19,252,000 available."
request_242,27.29,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,966.80 request. Although EUR 27.29 is available today, the full amount cannot be completed safely by 25 August 2025 while keeping the EUR 600 minimum. The forecast uses confirmed income in messages."
request_243,17468,affordable_now,full_payment,2026-07-07:17468,2026-07-07,none,"Pay ZAR 17,468 today. This leaves at least ZAR 19,900 available over the next 90 days."
request_244,49918,affordable_now,full_payment,2024-06-04:49918,2024-06-04,none,"Pay ZAR 49,918 today. This leaves at least ZAR 45,900 available over the next 90 days."
request_245,24005.91,affordable_later,wait,2026-01-15:128500,2026-01-15,none,"Pay INR 128,500 in full on 15 January 2026. Paying earlier would take the balance below the INR 94,600 minimum; only INR 24,005.91 is safe today. The forecast uses confirmed income in messages."
request_246,64086,affordable_with_plan,installments,2026-04-03:22216.48|2026-05-03:22216.48|2026-06-02:22216.48,2026-04-03,none,"Use 3 installments of ZAR 22,216.48, starting 3 April 2026. This leaves at least ZAR 39,300 available."
request_247,1059.30,affordable_now,full_payment,2024-09-05:1059.30,2024-09-05,none,"Pay EUR 1,059.30 today. This leaves at least EUR 1,300 available over the next 90 days. The forecast uses the latest payroll update."
request_248,937.87,affordable_with_plan,partial_payment,2025-02-07:937.87|2025-04-15:1027.73,2025-04-15,none,"Pay USD 937.87 today and the remaining USD 1,027.73 on 15 April 2025. This completes the full request and keeps the USD 1,300 minimum protected. The forecast uses the latest payroll update."
request_249,126.52,affordable_later,wait,2026-03-15:643.20,2026-03-15,none,Pay USD 643.20 in full on 15 March 2026. Paying earlier would take the balance below the USD 600 minimum; only USD 126.52 is safe today. The forecast uses the latest payroll update.
request_250,15440.18,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 124,278 request. Although ZAR 15,440.18 is available today, the full amount cannot be completed safely by 18 January 2025 while keeping the ZAR 35,300 minimum. The forecast uses confirmed income in messages."
request_251,79.87,not_affordable,not_recommended,none,,none,"Do not proceed with the EUR 1,513.60 request. Although EUR 79.87 is available today, the full amount cannot be completed safely by 6 June 2025 while keeping the EUR 1,300 minimum."
request_252,3988819.51,affordable_later,wait,2026-09-15:28082000,2026-09-15,none,"Pay IDR 28,082,000 in full on 15 September 2026. Paying earlier would take the balance below the IDR 15,152,200 minimum; only IDR 3,988,819.51 is safe today. The forecast uses the latest bill update."
request_253,1370.83,affordable_with_plan,installments,2024-03-21:984.60|2024-04-21:984.60|2024-05-22:984.60,2024-05-15,none,"Use 3 installments of EUR 984.60, starting 21 March 2024. This leaves at least EUR 2,300 available."
request_254,637.23,affordable_later,wait,2025-10-15:3535.20,2025-10-15,none,"Pay USD 3,535.20 in full on 15 October 2025. Paying earlier would take the balance below the USD 2,500 minimum; only USD 637.23 is safe today."
request_255,750746.03,affordable_now,full_payment,2026-04-06:3345000,2026-04-06,none,"Pay IDR 3,345,000 today. This leaves at least IDR 9,813,900 available over the next 90 days."
request_256,152799.25,affordable_with_plan,installments,2024-06-10:75816|2024-07-11:75816|2024-08-11:75816,2024-07-15,none,"Use 3 installments of INR 75,816, starting 10 June 2024. This leaves at least INR 168,600 available. The forecast uses confirmed income in messages."
request_257,317.96,affordable_later,wait,2026-01-15:1352.40,2026-01-15,none,"Pay USD 1,352.40 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,600 minimum; only USD 317.96 is safe today."
request_258,1113.60,affordable_now,full_payment,2026-01-07:1113.60,2026-01-07,none,"Pay USD 1,113.60 today. This leaves at least USD 500 available over the next 90 days."
request_259,211.88,affordable_later,wait,2024-11-15:935,2024-11-15,none,Pay EUR 935 in full on 15 November 2024. Paying earlier would take the balance below the EUR 600 minimum; only EUR 211.88 is safe today.
request_260,6375023.47,not_affordable,not_recommended,none,,none,"Do not proceed with the IDR 52,079,000 request. Although IDR 6,375,023.47 is available today, the full amount cannot be completed safely by 18 April 2025 while keeping the IDR 20,727,700 minimum."
request_261,1830.40,affordable_now,full_payment,2026-07-03:1830.40,2026-07-03,none,"Pay EUR 1,830.40 today. This leaves at least EUR 1,500 available over the next 90 days."
request_262,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 24 January 2025. None of the available options keeps the IDR 31,018,500 minimum protected."
request_263,5805.03,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 51,546 request. Although ZAR 5,805.03 is available today, the full amount cannot be completed safely by 15 June 2025 while keeping the ZAR 24,100 minimum. The forecast uses confirmed income in messages."
request_264,23492.15,affordable_later,wait,2026-06-15:111300,2026-06-15,none,"Pay INR 111,300 in full on 15 June 2026. Paying earlier would take the balance below the INR 59,500 minimum; only INR 23,492.15 is safe today."
request_265,0,affordable_now,full_payment,2024-03-06:45970,2024-03-06,none,"Pay INR 45,970 today. This leaves at least INR 189,700 available over the next 90 days."
request_266,770.25,affordable_with_plan,installments,2025-08-03:324.13|2025-08-31:324.13|2025-09-28:324.13,2025-09-15,none,"Use 3 installments of EUR 324.13, starting 3 August 2025. This leaves at least EUR 900 available."
request_267,1641.71,affordable_with_plan,installments,2026-01-08:667.33|2026-02-07:667.33|2026-03-09:667.33,2026-02-15,stop:event_24573,"Use 3 installments of EUR 667.33, starting 8 January 2026. This leaves at least EUR 1,500 available."
request_268,1041.50,affordable_with_plan,installments,2024-06-14:841.22|2024-07-15:841.22|2024-08-15:841.22,2024-07-15,none,"Use 3 installments of EUR 841.22, starting 14 June 2024. This leaves at least EUR 1,400 available."
request_269,9921.59,affordable_later,wait,2025-12-15:15490,2025-12-15,none,"Pay ZAR 15,490 in full on 15 December 2025. Paying earlier would take the balance below the ZAR 23,100 minimum; only ZAR 9,921.59 is safe today. The forecast uses confirmed income in messages."
request_270,96.77,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 3,028.80 request. Although USD 96.77 is available today, the full amount cannot be completed safely by 30 August 2026 while keeping the USD 1,400 minimum."
request_271,13812.36,affordable_later,wait,2024-11-15:91300,2024-11-15,none,"Pay INR 91,300 in full on 15 November 2024. Paying earlier would take the balance below the INR 58,200 minimum; only INR 13,812.36 is safe today. The forecast uses the latest payroll update and confirmed income in messages."
request_272,5415269.10,affordable_with_plan,installments,2025-02-12:4709466.67|2025-03-12:4709466.67|2025-04-09:4709466.67,2025-03-15,none,"Use 3 installments of IDR 4,709,466.67, starting 12 February 2025. This leaves at least IDR 7,508,600 available."
request_273,9628167.38,affordable_with_plan,installments,2026-04-07:5498480|2026-05-05:5498480|2026-06-02:5498480,2026-04-15,none,"Use 3 installments of IDR 5,498,480, starting 7 April 2026. This leaves at least IDR 18,774,600 available."
request_274,2131.94,affordable_with_plan,installments,2024-12-04:940.75|2025-01-04:940.75|2025-02-04:940.75,2025-01-15,none,"Use 3 installments of EUR 940.75, starting 4 December 2024. This leaves at least EUR 1,800 available."
request_275,15884000,affordable_now,full_payment,2025-05-06:15884000,2025-05-06,none,"Pay IDR 15,884,000 today. This leaves at least IDR 12,760,100 available over the next 90 days."
